repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_comments,Link Type,Quotes
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/644#issue-494250023,issue,644,https://github.com/PCMACHero,4,pull_request,670,https://github.com/casesandberg,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,395,https://github.com/sirjamesgray,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/652#issue-514450791,issue,652,https://github.com/mi6gan,1,issue,504,https://github.com/casesandberg,2,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/401#issue-254161458,pull_request,401,https://github.com/SpencerDawson,0,issue,399,https://github.com/scottkunkel,10,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/644#issuecomment-561717646,issue,644,https://github.com/PCMACHero,4,issue,656,https://github.com/mikalai-sauchanka,1,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/371#issue-239416855,issue,371,https://github.com/sergey-rogatin,1,issue,404,https://github.com/casesandberg,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/548#issuecomment-429383580,issue,548,https://github.com/earslap,2,issue,539,https://github.com/unkernet,1,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/540#issue-362959217,issue,540,https://github.com/StructByLightning,1,issue,216,https://github.com/louh,4,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issuecomment-386885224,issue,413,https://github.com/casesandberg,16,pull_request,511,https://github.com/ekoeryanto,1,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/620#issuecomment-572171082,issue,620,https://github.com/sjwl123,5,pull_request,670,https://github.com/casesandberg,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/423#issuecomment-329303573,issue,423,https://github.com/doronbrikman,4,issue,413,https://github.com/casesandberg,16,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/684#issuecomment-593287246,issue,684,https://github.com/essencient,5,issue,683,https://github.com/Maadtin,1,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/686#issue-575863359,issue,686,https://github.com/SpaceWarf,1,issue,684,https://github.com/essencient,5,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/305#issuecomment-368937283,issue,305,https://github.com/gittestcoder,14,issue,413,https://github.com/casesandberg,16,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/316#issue-198733188,pull_request,316,https://github.com/alampros,2,issue,307,https://github.com/qasid,2,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/701#issuecomment-620135800,issue,701,https://github.com/Wink007,4,issue,694,https://github.com/ashot-israelyan,8,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/438#issuecomment-341635364,issue,438,https://github.com/jomnius,6,issue,413,https://github.com/casesandberg,16,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,184,https://github.com/lgg,11,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/310#issuecomment-382884765,issue,310,https://github.com/stevenxxiu,6,issue,504,https://github.com/casesandberg,2,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,313,https://github.com/maximzah,5,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,pull_request,316,https://github.com/alampros,2,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/620#issuecomment-611482845,issue,620,https://github.com/sjwl123,5,issue,701,https://github.com/Wink007,4,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/445#issue-278990085,issue,445,https://github.com/ant45de,2,issue,404,https://github.com/casesandberg,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,66,https://github.com/vmasto,3,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/508#issuecomment-398012785,issue,508,https://github.com/alduro,12,issue,455,https://github.com/vudduu,4,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,215,https://github.com/jackparmer,23,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/216#issue-174551488,issue,216,https://github.com/louh,4,issue,404,https://github.com/casesandberg,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,359,https://github.com/sergop321,4,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,364,https://github.com/jimmylinh,4,other,
