key,repo_name,size,diameter,density,component_authors,url,comment_count,repo_contributors,component_nodes
629,Activiti/Activiti,4,3,0.25,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/almerico|https://github.com/robfrank,https://github.com/Activiti/Activiti/issues/3112,2,197,3112|3129|3254|3127
640,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/ScathonLin|https://github.com/almerico|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3240,3,197,3240|3148|3164
653,Activiti/Activiti,2,1,0.5,https://github.com/VitoAlbano|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/3224,2,197,3224|3225
659,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/grzi|https://github.com/CLAassistant|https://github.com/codecov-commenter|https://github.com/apps/codecov|https://github.com/XenoAmess|https://github.com/robfrank,https://github.com/Activiti/Activiti/issues/3217,4,197,3217|3204
664,Activiti/Activiti,2,1,0.5,https://github.com/apps/codecov|https://github.com/apps/mergify|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3209,2,197,3209|3211
670,Activiti/Activiti,4,2,0.25,https://github.com/erdemedeiros|https://github.com/VitoAlbano|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/apps/codecov|https://github.com/robfrank,https://github.com/Activiti/Activiti/issues/3184,4,197,3184|3201|3185|3193
677,Activiti/Activiti,4,3,0.25,https://github.com/zoltanpalfi|https://github.com/shivamgupta1|https://github.com/erdemedeiros|https://github.com/chithiencandy|https://github.com/CTI777|https://github.com/shiqingfu|https://github.com/apps/mergify|https://github.com/HBobertz|https://github.com/apps/codecov|https://github.com/vegetarianinvestor,https://github.com/Activiti/Activiti/issues/3194,10,197,3194|3171|3165|3166
679,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/salaboy|https://github.com/almerico|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/2436,2,197,2436|2413|3191
680,Activiti/Activiti,2,1,0.5,https://github.com/apps/codecov|https://github.com/apps/mergify|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3186,2,197,3186|3190
689,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/codecov|https://github.com/apps/mergify|https://github.com/salaboy|https://github.com/eromano|https://github.com/igdianov|https://github.com/proth1,https://github.com/Activiti/Activiti/issues/2712,5,197,2712|3178
694,Activiti/Activiti,2,1,0.5,https://github.com/apps/dependabot-preview|https://github.com/codecov-io|https://github.com/mteodori|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/3173,4,197,3173|3159
698,Activiti/Activiti,2,1,0.5,https://github.com/silverskyvicto|https://github.com/mteodori|https://github.com/CLAassistant,https://github.com/Activiti/Activiti/issues/3168,2,197,3168|3167
707,Activiti/Activiti,4,3,0.25,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/constantin-ciobotaru|https://github.com/apps/mergify|https://github.com/salaboy|https://github.com/ryandawsonuk,https://github.com/Activiti/Activiti/issues/2481,10,197,2481|1274|2254|3151
