repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/2367#issue-557778195,pull_request,2367,https://github.com/lorenzwalthert,13,pull_request,3085,https://github.com/lorenzwalthert,3,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/1423#issuecomment-704188862,issue,1423,https://github.com/djacobs7,9,issue,3418,https://github.com/mdneuzerling,10,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3858#issue-769223373,pull_request,3858,https://github.com/yitao-li,1,issue,3817,https://github.com/yitao-li,0,fixes
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/2908#issue-633133325,pull_request,2908,https://github.com/smurching,5,pull_request,2724,https://github.com/aarondav,4,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/3494#issuecomment-716606070,issue,3494,https://github.com/yitao-li,7,pull_request,3501,https://github.com/yitao-li,6,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3549#issue-724695312,pull_request,3549,https://github.com/yitao-li,3,pull_request,3501,https://github.com/yitao-li,6,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/4529#issuecomment-881221637,issue,4529,https://github.com/FrieseWoudloper,3,issue,3817,https://github.com/yitao-li,0,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3513#discussion_r504456278,pull_request,3542,https://github.com/harupy,1,pull_request,3513,https://github.com/harupy,1,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/2878#issuecomment-834656537,pull_request,2878,https://github.com/persas,16,pull_request,4312,https://github.com/afparsons,6,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3465#issue-710096031,pull_request,3465,https://github.com/abawchen,9,issue,1598,https://github.com/ahmed-shariff,5,fixes
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/3392#issue-694152349,issue,3392,https://github.com/smurching,8,pull_request,3513,https://github.com/harupy,1,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/2142#issuecomment-558614107,pull_request,2142,https://github.com/harupy,1,pull_request,2124,https://github.com/harupy,2,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/2770#issuecomment-642700188,issue,2770,https://github.com/persas,8,pull_request,2878,https://github.com/persas,16,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3542#issuecomment-711609096,pull_request,3542,https://github.com/harupy,1,pull_request,3544,https://github.com/harupy,3,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/1423#issuecomment-691249533,issue,1423,https://github.com/djacobs7,9,pull_request,3416,https://github.com/yitao-li,6,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/3418#issuecomment-782174684,issue,3418,https://github.com/mdneuzerling,10,issue,3817,https://github.com/yitao-li,0,other
mlflow/mlflow,38589,,pull_request,2136,https://github.com/harupy,3,pull_request,2170,https://github.com/harupy,1,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/2367#issuecomment-650538695,pull_request,2367,https://github.com/lorenzwalthert,13,pull_request,2908,https://github.com/smurching,5,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3549#issuecomment-712980000,pull_request,3549,https://github.com/yitao-li,3,pull_request,3544,https://github.com/harupy,3,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/3047#issuecomment-653690308,issue,3047,https://github.com/yitao-li,3,pull_request,3048,https://github.com/lorenzwalthert,7,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3048#issuecomment-653739487,pull_request,3048,https://github.com/lorenzwalthert,7,pull_request,3050,https://github.com/harupy,0,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3055#issue-651531267,pull_request,3055,https://github.com/yitao-li,1,pull_request,3048,https://github.com/lorenzwalthert,7,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3568#issue-726392125,pull_request,3568,https://github.com/harupy,1,pull_request,3544,https://github.com/harupy,3,other
casesandberg/react-color,16446,https://github.com/casesandberg/react-color/pull/671#issue-548475210,pull_request,671,https://github.com/casesandberg,0,issue,648,https://github.com/JCron245,1,other
ptomasroos/react-native-scrollable-tab-view,46143,,issue,366,https://github.com/peterhn,12,issue,321,https://github.com/xQuotes,3,other
ptomasroos/react-native-scrollable-tab-view,46143,https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/609#issuecomment-294454394,issue,609,https://github.com/xsbailong,1,issue,187,https://github.com/sercanov,49,duplicate
ptomasroos/react-native-scrollable-tab-view,46143,https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/628#issuecomment-300143612,issue,628,https://github.com/davidfloegel,3,issue,385,https://github.com/bondanherumurti,11,other
ptomasroos/react-native-scrollable-tab-view,46143,https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/521#issuecomment-276936892,issue,521,https://github.com/tinylpc,11,pull_request,534,https://github.com/gmlion,6,other
ptomasroos/react-native-scrollable-tab-view,46143,https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/813#issuecomment-362481232,issue,813,https://github.com/Thanmai-C,6,pull_request,667,https://github.com/tibbus,22,other
ptomasroos/react-native-scrollable-tab-view,46143,https://github.com/ptomasroos/react-native-scrollable-tab-view/pull/534#issuecomment-276012213,pull_request,534,https://github.com/gmlion,6,issue,366,https://github.com/peterhn,12,other
ptomasroos/react-native-scrollable-tab-view,46143,https://github.com/ptomasroos/react-native-scrollable-tab-view/issues/211#issuecomment-201015685,issue,211,https://github.com/donghanji,4,issue,187,https://github.com/sercanov,49,other
