repo_name,component_id,url,nodes,total_comment_count,component_size
mlflow/mlflow,37687,https://github.com/mlflow/mlflow/issues/5801,"[5801, 5628]",7,2
mlflow/mlflow,37706,https://github.com/mlflow/mlflow/issues/5777,"[5777, 5644]",0,2
mlflow/mlflow,37715,https://github.com/mlflow/mlflow/issues/5736,"[5736, 5694, 5767]",14,3
mlflow/mlflow,37720,https://github.com/mlflow/mlflow/issues/5761,"[5761, 5740]",0,2
mlflow/mlflow,37721,https://github.com/mlflow/mlflow/issues/5760,"[5760, 5748, 5717, 5759]",10,4
mlflow/mlflow,37723,https://github.com/mlflow/mlflow/issues/5739,"[5739, 5756]",22,2
mlflow/mlflow,37724,https://github.com/mlflow/mlflow/issues/5753,"[5753, 5732, 5733]",5,3
mlflow/mlflow,37727,https://github.com/mlflow/mlflow/issues/5738,"[5738, 5750]",8,2
mlflow/mlflow,37729,https://github.com/mlflow/mlflow/issues/5730,"[5730, 5734, 5735, 5743, 5712, 5746, 5747]",60,7
mlflow/mlflow,37730,https://github.com/mlflow/mlflow/issues/5744,"[5744, 5745]",7,2
mlflow/mlflow,37741,https://github.com/mlflow/mlflow/issues/5721,"[5721, 5705]",4,2
mlflow/mlflow,37742,https://github.com/mlflow/mlflow/issues/5720,"[5720, 5713]",3,2
mlflow/mlflow,37744,https://github.com/mlflow/mlflow/issues/5704,"[5704, 5715]",3,2
mlflow/mlflow,37747,https://github.com/mlflow/mlflow/issues/5697,"[5697, 5707]",12,2
mlflow/mlflow,37767,https://github.com/mlflow/mlflow/issues/5674,"[5674, 5675]",3,2
mlflow/mlflow,37783,https://github.com/mlflow/mlflow/issues/5635,"[5635, 5646]",5,2
mlflow/mlflow,37788,https://github.com/mlflow/mlflow/issues/5640,"[5640, 5617]",5,2
mlflow/mlflow,37791,https://github.com/mlflow/mlflow/issues/5633,"[5633, 5631]",2,2
Project-OSRM/osrm-backend,6,https://github.com/Project-OSRM/osrm-backend/issues/6273,"[6273, 6275, 6261, 6270]",26,4
Project-OSRM/osrm-backend,17,https://github.com/Project-OSRM/osrm-backend/issues/6258,"[6258, 6259]",10,2
Project-OSRM/osrm-backend,36,https://github.com/Project-OSRM/osrm-backend/issues/6236,"[6236, 6237]",17,2
Rapptz/discord.py,46911,https://github.com/Rapptz/discord.py/issues/8198,"[8198, 7918]",1,2
Rapptz/discord.py,46912,https://github.com/Rapptz/discord.py/issues/8196,"[8196, 8103]",6,2
Rapptz/discord.py,46920,https://github.com/Rapptz/discord.py/issues/8187,"[8187, 8159]",9,2
Rapptz/discord.py,46928,https://github.com/Rapptz/discord.py/issues/8064,"[8064, 8179]",1,2
Rapptz/discord.py,46983,https://github.com/Rapptz/discord.py/issues/8082,"[8082, 8109]",9,2
Rapptz/discord.py,46995,https://github.com/Rapptz/discord.py/issues/8091,"[8091, 7999]",1,2
Rapptz/discord.py,47012,https://github.com/Rapptz/discord.py/issues/8048,"[8048, 8062]",0,2
Rapptz/discord.py,47021,https://github.com/Rapptz/discord.py/issues/8052,"[8052, 8046]",4,2
Rapptz/discord.py,47031,https://github.com/Rapptz/discord.py/issues/8002,"[8002, 8037]",14,2
Rapptz/discord.py,47035,https://github.com/Rapptz/discord.py/issues/8032,"[8032, 8026]",3,2
Rapptz/discord.py,47066,https://github.com/Rapptz/discord.py/issues/7969,"[7969, 7978]",8,2
Rapptz/discord.py,47076,https://github.com/Rapptz/discord.py/issues/7964,"[7964, 7966]",3,2
Rapptz/discord.py,47087,https://github.com/Rapptz/discord.py/issues/7954,"[7954, 7941]",0,2
Rapptz/discord.py,47091,https://github.com/Rapptz/discord.py/issues/7949,"[7949, 7950]",2,2
Rapptz/discord.py,47145,https://github.com/Rapptz/discord.py/issues/7889,"[7889, 7890]",0,2
Rapptz/discord.py,47154,https://github.com/Rapptz/discord.py/issues/7872,"[7872, 7877]",0,2
redis/redis-rb,51128,https://github.com/redis/redis-rb/issues/1106,"[1106, 1107]",15,2
redis/redis-rb,51137,https://github.com/redis/redis-rb/issues/1096,"[1096, 1097]",3,2
summernote/summernote,55501,https://github.com/summernote/summernote/issues/4312,"[4312, 4270]",2,2
TypeStrong/ts-node,62390,https://github.com/TypeStrong/ts-node/issues/1714,"[1714, 1715, 1838, 1839]",19,4
TypeStrong/ts-node,62396,https://github.com/TypeStrong/ts-node/issues/1829,"[1829, 1830]",1,2
TypeStrong/ts-node,62399,https://github.com/TypeStrong/ts-node/issues/1824,"[1824, 1778, 1764]",18,3
TypeStrong/ts-node,62401,https://github.com/TypeStrong/ts-node/issues/1797,"[1797, 1821, 1790, 1822]",51,4
TypeStrong/ts-node,62403,https://github.com/TypeStrong/ts-node/issues/1793,"[1793, 1796, 1800, 1801, 1802, 1817]",100,6
TypeStrong/ts-node,62411,https://github.com/TypeStrong/ts-node/issues/1777,"[1777, 1779, 1791]",19,3
TypeStrong/ts-node,62417,https://github.com/TypeStrong/ts-node/issues/1774,"[1774, 1775]",1,2
TypeStrong/ts-node,62420,https://github.com/TypeStrong/ts-node/issues/1769,"[1769, 1770, 1771]",20,3
varvet/pundit,63367,https://github.com/varvet/pundit/issues/736,"[736, 739]",0,2
