repo_name,component_id,url,node_id,comment_count
Rapptz/discord.py,46912,https://github.com/Rapptz/discord.py/issues/8103,8103,5
apache/dubbo,8509,https://github.com/apache/dubbo/issues/10297,10297,2
apache/dubbo,8509,https://github.com/apache/dubbo/issues/10283,10283,5
kubernetes-sigs/kustomize,29306,https://github.com/kubernetes-sigs/kustomize/issues/4705,4705,3
kubernetes-sigs/kustomize,29306,https://github.com/kubernetes-sigs/kustomize/issues/4698,4698,9
kubernetes-sigs/kustomize,29306,https://github.com/kubernetes-sigs/kustomize/issues/4699,4699,16
kubernetes-sigs/kustomize,29306,https://github.com/kubernetes-sigs/kustomize/issues/4692,4692,34
mlflow/mlflow,37730,https://github.com/mlflow/mlflow/issues/5744,5744,1
mlflow/mlflow,37730,https://github.com/mlflow/mlflow/issues/5745,5745,6
apache/dubbo,8714,https://github.com/apache/dubbo/issues/9993,9993,1
apache/dubbo,8714,https://github.com/apache/dubbo/issues/9977,9977,3
Activiti/Activiti,47,https://github.com/Activiti/Activiti/issues/3960,3960,1
Activiti/Activiti,47,https://github.com/Activiti/Activiti/issues/3911,3911,2
mlflow/mlflow,37644,https://github.com/mlflow/mlflow/issues/5865,5865,0
mlflow/mlflow,37644,https://github.com/mlflow/mlflow/issues/5869,5869,0
mlflow/mlflow,37644,https://github.com/mlflow/mlflow/issues/5870,5870,0
mlflow/mlflow,37644,https://github.com/mlflow/mlflow/issues/5863,5863,2
ag-grid/ag-grid,3538,https://github.com/ag-grid/ag-grid/issues/5104,5104,1
ag-grid/ag-grid,3538,https://github.com/ag-grid/ag-grid/issues/5085,5085,11
ag-grid/ag-grid,3538,https://github.com/ag-grid/ag-grid/issues/5088,5088,12
apache/dubbo,8673,https://github.com/apache/dubbo/issues/10054,10054,1
apache/dubbo,8673,https://github.com/apache/dubbo/issues/10055,10055,7
jupyterhub/jupyterhub,26668,https://github.com/jupyterhub/jupyterhub/issues/3936,3936,1
jupyterhub/jupyterhub,26668,https://github.com/jupyterhub/jupyterhub/issues/3933,3933,4
apache/dubbo,8546,https://github.com/apache/dubbo/issues/10250,10250,1
apache/dubbo,8546,https://github.com/apache/dubbo/issues/10212,10212,2
mlflow/mlflow,37598,https://github.com/mlflow/mlflow/issues/5934,5934,2
mlflow/mlflow,37598,https://github.com/mlflow/mlflow/issues/5943,5943,3
Rapptz/discord.py,47012,https://github.com/Rapptz/discord.py/issues/8048,8048,0
Rapptz/discord.py,47012,https://github.com/Rapptz/discord.py/issues/8062,8062,0
mlflow/mlflow,37654,https://github.com/mlflow/mlflow/issues/5851,5851,6
mlflow/mlflow,37654,https://github.com/mlflow/mlflow/issues/5853,5853,7
cglib/cglib,16884,https://github.com/cglib/cglib/issues/205,205,0
cglib/cglib,16884,https://github.com/cglib/cglib/issues/206,206,0
Rapptz/discord.py,47031,https://github.com/Rapptz/discord.py/issues/8002,8002,5
Rapptz/discord.py,47031,https://github.com/Rapptz/discord.py/issues/8037,8037,9
mlflow/mlflow,37605,https://github.com/mlflow/mlflow/issues/5932,5932,0
mlflow/mlflow,37605,https://github.com/mlflow/mlflow/issues/5886,5886,0
mlflow/mlflow,37605,https://github.com/mlflow/mlflow/issues/5919,5919,0
apache/dubbo,8578,https://github.com/apache/dubbo/issues/10200,10200,6
apache/dubbo,8578,https://github.com/apache/dubbo/issues/10181,10181,6
apache/dubbo,8578,https://github.com/apache/dubbo/issues/10182,10182,7
mlflow/mlflow,37534,https://github.com/mlflow/mlflow/issues/6060,6060,1
mlflow/mlflow,37534,https://github.com/mlflow/mlflow/issues/6045,6045,3
